Question,Option1,Option2,Option3,Option4,Correct Option
How many times has Kim Kardashian been married?,1,2,3,4,3
"How many different actors have played James Bond in the movies, from 1962 to 2020?",5,6,7,8,7
The movie Happy Feet primarily features which animal?,Penguins,Horses,Polar Bears,Lions,Penguins
"Which actress co-starred with Mark Wahlberg in the 1996 movie, Fear?",Reese Witherspoon,Julia Roberts,Cameron Diaz,Jessica Alba,Reese Witherspoon
Which house was Harry Potter almost sorted into ?,Slytherin,Gryffindor,Ravenclaw,Hufflepuff,Slytherin
What 1984 film promted the PG 13 movie rating?,Indiana Jones and the Temple of Doom,Jawn,Poltergeist,Breakfast Club,Indiana Jones and the Temple of Doom
"What fictional town is Footloose set in, both orignial and remake?",Bomont,Muskogee,Choctaw,Moore,Bomont
What Jonas brothers TV show ran for 2 seasons on the Disney channel?,Jonas,The life of a Jonas Brother,Sons of Jonas,JBros,Jonas
What band can be found on the Tshirt of Beavis?,Metallica,AC DC,Aerosmith,Black Sabbath,Metallica
Which of these actors was not a star of Dawson's Creek?,Jennifer Love Hewitt,Katie Holmes,Michelle Williams,Busy Phillips,Jennifer Love Hewitt
Bella Thorne and Zendaya starred together on which Disney Channel show?,Shake it Up,Shake it Down,"Shake, Rattle and Roll",Shake it Off,Shake it Up
What is Marge Simpson's maiden name?,Bouvier,Beaulieu,Belanger,Beauchamp,Bouvier
On the Simpson's who shot Mr. Burns?,Maggie,Bart ,Lisa,Homer,Maggie
What country banned the Power Rangers in the 90s?,New Zealand,Australia,England,Russia,New Zealand
"Which British soap opera debuted on December 9, 1960?",Coronation Street,East Enders,Emmerdale Farm,Hollyoaks,Coronation Street
What was the first James Bond film?,Dr No,From Russia with Love,Goldfinger,Live and Let Die,Dr No
What is the top grossing Stephen King movie?,It,Stand By Me,The Green Mile,Misery,It
Which movie are the children Jane and Michael Banks from?,Mary Poppins,Peter Pan,Toy Story,Monsters Inc,Mary Poppins
"In Kung Fu Panda, Poe's adopted father,Mr. Ping, is what?",Goose,Duck,Swan,Eagle,Goose
What kind of animal is Timon in The Lion King?,Meerkat,Warthog,Prairie Dog,Ferret,Meerkat
What was the first Disney Pixar film?,Toy Story,Monsters Inc.,The Incredibles,Finding Nemo,Toy Story
"In Full House the Tanner family included Martin, who was he?",Goldfish,Dog,Uncle Martin,Danny's brother,Goldfish
What was the name of Blossom's best friend?,Sixx,Jenna,Mayim,Melissa,Sixx
What did Ross yell to Rachel in the third season of Friends that became a popular line throughout the series?,We were on a break!,We are on a break!,How you doin?,Pivot!,We were on a break!
Which short-lived NBC show also featured a former Friends actor?,Studio 60 on the Sunset Strip,Freaks and Greeks,Firefly,Trophy Wife,Studio 60 on the Sunset Strip
Which sitcom did Ariana Grande star in?,Cat & Sam,Dynasty,Saved by the Bell,Drake & Josh,Cat & Sam
Which character did Kim Cattrell play in Sex and the City?,Samantha,Carrie,Cynthia,Charlotte,Samantha
"In Friends, what is Chandler's middle name?",Muriel,Francis,Morgan,Sydney,Muriel
What was the original title of 'Saved by the Bell?',Good Morning Miss Bliss,Bayside,Friends Forever,The Max,Good Morning Miss Bliss
"Before starring in Veep, Julia Louis-Dreyfus played a divorced mother in this CBS sitcom",The New Adventures of Old Christine,Seinfeld,Curb Your Enthusiasm,Watching Ellie,The New Adventures of Old Christine
"Who was the youngest person to host SNL, at age 7?",Drew Barrymore,Macauly Culkin,Amanda Bynes,Olsen Twins,Drew Barrymore
"Who played Alex Keaton's girlfriend in Family Ties, before joining another group of friends on a sitcom?",Courtney Cox,Jennifer Aniston,Lisa Kudrow,Reese Witherspoon,Courtney Cox
"What was Kaley Cuoco's HBO Max limited series titled, post Big Bang Theory?",The Flight Attendant,8 Simple Rules,Handsome,Harley Quinn,The Flight Attendant
Which is the most watched TV series finale?,M*A*S*H,Friends,Seinfeld,Cheers,M*A*S*H
He's in search of the missing mascot of the Miami Dolphins. ,Ace Venture When Nature Calls,White Squall,Ace Venture Pet Detective,The Cable Guy,Ace Venture Pet Detective
Meg Ryan and Tom Hanks starred in You've Got Mail. What company was the slogan based from?,AOL,Netscape,Yahoo,Google,AOL
"Which is the highest grossing film of all time, without inflation?",Avatar,Titanic,Avengers: Endgame,Star Wars: The Force Awakens,Avengers: Endgame
What is the name of the killer in Scream?,Pennywise,Ghostface,Jason,Freddy,Ghostface
How many women had speaking roles in the movie The Shawshank Redemption?,1,2,5,7,2
Gru is a supervillian from which animated movie?,Big Hero 6,Despicable Me,Batman,Wall-E,Despicable Me
The first Bond film to receive an Academy Award for Original Song was,A View to a Kill,Skyfall,Another Way to Die,Goldfinger,Skyfall
Which Disney film did Lindsay Lohan make her film debut in?,Freaky Friday,The Parent Trap,Mean Girls,Confessions of a Teenage Drama Queen,The Parent Trap
Which musician played Cinna in The Hunger Games?,Justin Timberlake,Lenny Kravitz,Mark Wahlberg,Mandy Moore,Lenny Kravitz
Kate Hudson was nominated for an Oscar for which film?,How to Lose a Guy in 10 Days,Almost Famous,200 Cigarettes,The Skeleton Key,Almost Famous
Matt Damon played Loki in two films- One of them was Thor Ragnarok -What was the other film?,Avengers: Endgame,Dogma,Interstellar,The Bourne Ultimatum,Dogma
"In the 2019 film Yesterday, the main character performs music from which popular British band?",Spice Girls,The Beatles,The Rolling Stones,One Direction,The Beatles
What Latina singer appeared on the reboot of One Day at a Time in 2019 ?,Jennifer Lopez,Gloria Estefan,Shakira,Christina Aguilera,Gloria Estefan
Who was not one of Charlie's Angels?,Cameron Diaz,Reese Witherspoon,Drew Barrymore,Lucy Liu,Reese Witherspoon
What was the name of Ross' pet monkey in Friends?,Maurice,Marcel,Melvin,Morgan,Marcel
Who sand the theme song to Friends?,Gin Blossoms,Rembrandts,Weezer,Smashing Pumpkins,Rembrandts
Who played the first openly gay teenageer on television?,Leonardo DiCaprio,Ryan Phillippe,Jon Cryer,Sean Hayes,Ryan Phillippe
Which is not a Home Improvement son?,Mark,Tim,Randy,Brad,Tim
What 80s show was Frasier a spin-off from?,Roseanne,Cheers,The Golden Girls,Night Court,Cheers
What young boy owned the toys in Toy Story?,Ben,Andy,Danny,Jordan,Andy
"Which orange mask wearing Teenage Mutant Ninja Turtle is the ""funny one""?",Donatello,Michelangelo,Leonardo,Raphael,Michelangelo
Which actress has the most Oscar nominations?,Jane Fonda,Meryl Streep,Judi Dench,Katherine Hepburn,Meryl Streep
What was the first African American to win an Academy Award?,James Earl Jones,Sidney Poitier,Morgan Freeman,Sammy Davis Jr,Sidney Poitier
In Back to the Future what kind of car is the time machine?,Edsel,Delorean,Anglia,Ferrari,Delorean
What was the Scarecrow in the Wizard of Oz  lacking?,Heart,Brain,Courage,Voice,Brain
What movie first heard the word supercalifragilisticexpialadocious?,Sound of Music,Mary Poppins,Mrs.Doubtfire,Nanny McPhee,Mary Poppins
Which is not one of Donald Duck's nephews?,Huey ,Stewie,Duey,Louie,Stewie
Which Minion has two different colored eyes in Despicable Me?,Kevin,Bob,Stuart ,Dave,Bob
What is the name of Simba and Nala's daughter in Lion King?,Kaley,Kiara,Kehlani,Kimber,Kiara
What was the name of the character behind the fence in Home Improvement?,Earl,Wilson,Tim,Al ,Wilson
What was the name of the anti-feminist group Al created in Married with Children?,Men Only,No Ma'am,No Women,Anti Women,No Ma'am
"Who was Steve Urkel's girlfriend, other than Laura. in Family Matters?",Rachel,Myra,Judy,Lori,Myra
What was Jamie and Paul's dogs name on Mad About You?,Bailey,Murray,Harley,Rocky,Murray
Which show featured Sacred Heart Hospital?,Grey's Anatomy,Scrubs,The Resident,Chicago Med,Scrubs
Katie Holmes got her start in which popular primetime drama?,Party of Five,Dawson's Creek,Charmed,Saved by the Bell,Dawson's Creek
What was Fred Flintston'e boss' name?,Mr Granite,Mr Slate,Mr Rubble,Joe Rockhead,Mr Slate
Who was the first guest star on Late Night with David Letterman in 1982?,Billy Crystal,Bill Murray,Steve Martin,Paul Shaffer,Bill Murray
"Who was the host of No Reservations, an American travel and food show?",Gordon Ramsay,Anthony Bourdan,Guy Fieri,Jamie Oliver,Anthony Bourdan
What does CNN stand for?,Central News Network,Cable News Network,Columbia News Network,Corporation News Network,Cable News Network
"Why do we fall, sir? So that we can learn to pick ourselves up' is a quote from Alfred from which Batman movie?",The Dark Knight,Batman,Batman Begins,Batman Forever,Batman Begins
Which Bourne movie did Matt Damon not appear in?,Bourne Identity,Bourne Legacy,Bourne Supremacy,Bourne Ultimatium,Bourne Legacy
"Death Becomes Her starred Meryl Streep, Goldie Hawn and...",Tom Hanks,Bruce Willis,Tom Cruise,Mel Gibson,Bruce Willis
Which Powerpuff Girl is known as the hotheaded tomboy?,Bubbles,Buttercup,Blossom,Blessing,Buttercup
Who was the first female solo host of the Academy Awards?,Ellen DeGeneres,Jane Fonda,Whoopi Goldberg,Goldie Hawn,Whoopi Goldberg
What was the original name of Walt Disney's Mickey Mouse?,Mighty,Maverick,Mortimer,Marcus,Mortimer
What soap opera featured a live facelift in 1984?,General Hospital,All My Children,Young and the Restless,One life to LIve,Young and the Restless
What horror movie was the TV Show Bates Motel adapted from?,Amityville Horror,Clockwork Orange,Psycho,Nightmare on Elm Street,Psycho
"What actress calls Goldie Hawn, mom and Kurt Russell, stepdad?",Drew Barrymore,Cameron Diaz,Kate Hudson,Katie Holmes,Kate Hudson
What was the highest grossing movie worldwide of the 90's?,Jurassic Park,The Lion King,Titanic,Forrest Gump,Titanic
"On Friends, what was Phoebe's twin sister's name?",Emily ,Carol,Ursula,Jill,Ursula
What was the butler's name on Fresh Prince of Bel Air?,Jeeves,Benson,Geoffrey,Wendall,Geoffrey
Macaulay Culkin was the first child actor to earn $1m for what movie?,Home Alone,Home Alone 2,My Girl,Richie Rich,My Girl
What was the name of Forrest Gump's true love?,Julie,Jessie,Jenny,Jillie,Jenny
"In Harry Potter, who is He Who Shall Not Be Named?",Dumbledore,Professor Snape,Voldemort,Hagrid,Voldemort
What is Indiana Jones' weapon of choice?,Gun ,Knife,Whip,Bow and Arrow,Whip
What country were all of the Lord of the Rings movies filmed?,Australia,England,New Zealand,Denmark,New Zealand
Where is Brokeback Mountain in the file of the same name?,Colorado,Nebraska,Wyoming,North Dakota,Wyoming
"What social network is the film, The Social Network, about?",Instagram,Myspace,Facebook,Twitter,Facebook
What hair treatment helped solve the murder case in Legally Blonde?,Flat Iron,Curling Iron,Perm,Hair Colour,Perm
Quincy Jones was an executive producer on which 90's sitcom?,"Sister, Sister",Living Single,Fresh Prince of Bel Air,Family Matters,Fresh Prince of Bel Air
What was the name of the overweight teacher and driving instructor on Saved by the Bell?,Mr Belding,Mr Dewey,Mr Tuttle,Ms Bliss,Mr Tuttle
In The Nanny what was CC's real name?,Caroline Clementine Babcock,Cecilia Chloe Babcock,Chastity Claire Babcock,Christina Charlotte Babcock,Chastity Claire Babcock
"In the original series finale of Third Rock from the Sun, who gets left behind?",Tommy,Sally,Mary,Harry,Mary
Which HBO show is about a family who owns Waystar?,I May Destroy You,I'll Be Gone in the Dark,Succession,The Outsider,Succession
Glenn Close starred in this series as a cunning lawyer,101 Dalmations,The Shield,Damages,The West Wing,Damages
Which of these was the first toy to be advertised on US TV?,Lego,Play-Doh,Mr Potato Head,Frisbee,Mr Potato Head
Actor Earl Hindman's face was always hidden behind a fence in which TV sitcom?,Seinfeld,Growing Pains,Home Improvement,Married with Children,Home Improvement
What was the name of Johnny Depp's character in Pirates of the Carribean?,Blackbeard,Will Turner,Jack Sparrow,Barbossa,Jack Sparrow
"A spinoff of SNL, Dan Aykroyd and Jane Curtin starred in which aliens movie together?",3rd Rock from the Sun,The Fifth Element,Spieces,Coneheads,Coneheads
Which celebrity allegedly once tried to buy Marvel Comics so he can play Spider-Man?,Ben Affleck,Robert Downey Jr,David Bowie,Michael Jackson,Michael Jackson
Who was not a guest star on Friends?,Christina Applegate,Julia Roberts,Reese Witherspoon,Cameron Diaz,Cameron Diaz
Who was not a member of the MIckey Mouse club?,Christina Aguilera,Britney Spears,Ryan Gosling,Ryan Reynolds,Ryan Reynolds
Where did the Walsh family on Beverly HIlls 90210 hail from?,Washington,Oregon,New Hampshire,Minnesota,Minnesota
Which of the following is not one of the Seven Dwarfs?,Sleepy,Sneezy,Doc,Dizzy,Dizzy
What is the first animal seen in The Lion King?,Lion,Monkey,Tucan,Rhinocerous,Rhinocerous
What kind of car did Steve McQueen drive as Frank Bullitt?,Camaro,Challenger,Porsche,Mustang,Mustang
What Golden Globe winning actress starred in the ill-fated Grease 2?,Susan Sarandon,Julia Roberts,Halle Berry,Michelle Pfeiffer,Michelle Pfeiffer
What is the name of Belle's father in Beauty and the Beast?,Abraham,Bernard,Roland,Maurice,Maurice
What Disney character suffered from short term memory loss?,Mulan,Buzz Lightyear,Sulley,Dory,Dory
Seinfeld's Frank Costanza celebrated which holiday on December 23rd?,Christimas,Hanukkah,Grievings,Festivus ,Festivus 
"In Friends, what was Janice's husband also known as?",Big Dummy,Big Green Poking Machine,Little Miss New Boobs,The Mattress King,The Mattress King
Which star played Elliot's mother Bonnie in Will & Grace?,Debra Messing,Madonna,Candice Bergen,Rosie O Donnell,Rosie O Donnell
What does tonk'peh mean in Vulcan?,Goodbye,How are you?,Are you hungry?,Hello,Hello
Which 90's sitcom starred Helen Hunt and Paul Reiser?,Dharma & Greg,Will & Grace,Home Improvement,Mad About You,Mad About You
Which of these are not a streaming service?,Peacock,Hulu,Quibi,Fox,Fox
What Comic-Con costume was the girl wearing who Raj and Howard had a threesome with?,Catwoman,Wonder Woman,Harley Quinn,Sailor Moon,Sailor Moon
Who was the first American Idol runner-up?,Clay Aiken,Ruben Studdard,Kelly Clarkson,Justin Guarini,Justin Guarini
"In Game of Thrones, Valar Morghulis means what?",All Men Must Attack,All Men Must Bow,All Men Must Kill,All Men Must Die,All Men Must Die
Lea Thompson was the star of which TV series?,NewsRadio,Drew Carey Show,Murphy Brown,Caroline in the City,Caroline in the City
What city do the Simpsons live in?,Springtown,Springdale,Spring Grove,Springfield,Springfield
"Who was not a member of the original Roseanne cast, in Big Bang Theory?",Johnny Galencki,Sara Gilbert,Laurie Metcalf,Kaley Cuoco,Kaley Cuoco
What year did the Oprah Winfrey Show premiere?,1990,1989,1995,1986,1986
Which movie made the line 'Nobody puts baby in a corner' famous?,Footlose,Baby Driver,Dirty Dancing,Rosemary's Baby,Dirty Dancing
Christina Applegate is in charge of the family. Name the movie.,The Big Hit,Never Been Kissed,While You Were Sleeping,Don't Tell Mom the Babysitter's Dead,Don't Tell Mom the Babysitter's Dead
Which is Drew Barrymore's first hit movie?,Never Been Kissed,Wayne's World 2,ET,Scream,ET
What popular 90's movie is this line from: How you like them apples?,Clueless,Scream,Good Will Hunting,Home Alone,Good Will Hunting
Which movie starred Ryan Reynolds and Blake Lively?,Deadpool,Gossip Girl,Green Lantern,A Simple Favor,Green Lantern
Name the movie with Brad Pitt and Anthony Hopkins where one of them plays a dead man.,Legends of the Fall,Meet Joe Black,Interview with a Vampire,The Devil's Own,Interview with a Vampire
"In 2020 Weight Watchers announced a new male spokesperson, who was it?",Kevin James,Drew Carey,Chris Pratt,James Corden,James Corden
What movie made the line 'You complete me' famous?,Clueless,50 First Dates,Notting Hill,Jerry Maguire,Jerry Maguire
Which actor was not part of the 80s Brat Pack?,Rob Lowe,Johnny Depp,Andrew Mccarthy,Judd Nelson,Johnny Depp
Which Charlie Brown character has always believed in The Great Pumpkin ?,Lucy,Charlie,Linus,Schroeder,Linus
Which of these people were never full time hosts at The View?,Lucy Lui,Lisa Ling,Rosie O'Donnell,Rosie Perez,Lucy Lui
